Type,Square,Floor,Metro,Price
0.0,20.6,4,1.0,3200000.0
3.0,77.9,5,1.0,17549779.0
1.0,37.1,4,1.0,10110678.0
2.0,62.2,14,1.0,14593737.0
1.0,31.8,1,1.0,6799243.0
0.0,29.0,9,1.0,7966561.0
3.0,89.8,3,1.0,18575938.0
3.0,84.7,17,1.0,17937300.0
0.0,28.71,4,0.0,3724269.0
1.0,38.11,14,1.0,7772421.0
1.0,37.14,10,0.0,5304298.0
1.0,40.56,8,0.0,6588888.0
2.0,60.09,15,0.0,8291822.0
2.0,60.51,13,0.0,8317476.0
1.0,39.34,11,0.0,5534317.0
2.0,61.09,13,0.0,8344827.0
2.0,60.42,10,0.0,8290367.0
1.0,38.35,14,0.0,5436522.0
2.0,60.51,4,0.0,8317476.0
3.0,77.66,4,0.0,10451400.0
2.0,60.42,4,0.0,8290367.0
2.0,60.96,7,0.0,8344827.0
2.0,61.09,4,0.0,8344827.0
2.0,59.08,8,0.0,8191813.0
1.0,37.5,5,0.0,5372882.0
2.0,60.42,13,0.0,8290367.0
1.0,38.35,12,0.0,5436522.0
3.0,78.0,7,0.0,10499827.0
2.0,61.09,13,0.0,8344827.0
2.0,60.96,13,0.0,8344827.0
1.0,37.5,8,0.0,5372882.0
2.0,61.09,10,0.0,8344827.0
2.0,60.09,9,0.0,8291822.0
2.0,60.09,6,0.0,8291822.0
1.0,36.95,12,0.0,5274630.0
1.0,37.5,11,0.0,5372882.0
1.0,39.84,12,0.0,5584690.0
1.0,36.95,9,0.0,5274630.0
1.0,38.35,6,0.0,5436522.0
1.0,39.34,4,0.0,5534317.0
,,17,0.0,5436522.0
2.0,60.51,10,0.0,8317476.0
3.0,77.66,13,0.0,10451400.0
1.0,39.34,4,0.0,5534317.0
1.0,39.34,10,0.0,5534317.0
1.0,37.5,12,0.0,5380041.0
3.0,78.0,13,0.0,10499827.0
2.0,61.09,4,0.0,8344827.0
3.0,77.66,7,0.0,10451400.0
2.0,60.51,7,0.0,8317476.0
1.0,39.34,7,0.0,5534317.0
2.0,61.09,7,0.0,8344827.0
1.0,38.35,15,0.0,5436522.0
2.0,60.09,12,0.0,8291822.0
2.0,59.08,11,0.0,8191813.0
2.0,60.09,12,0.0,8291822.0
2.0,60.96,7,0.0,8344827.0
